adjudication_key	base_state	current_state
literal:02a3196d08334a8618d9231e2f59ec2dd56a8ee75104db751378bffbe32cdecf	"[""prose-sole-copy"",""issue #1753: #275 pin (P4-ci): create-issue preamble carries the never-capture operative sentence; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:0cb47983ffc4d7fe1dfad4a70ae86afdfd682e34cf4a782718603290c5b00aff	"[""prose-sole-copy"",""issue #1753: #603/AC15: reconciliation arm \u2014 recurrence of an invalidated entry; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:0eea9b408f4e1c474d1ea44f7feafe7b04212faed9fff8326c09843fb356b7fe	"[""prose-sole-copy"",""issue #1753: #546: an illegal-transition rejection is not an unavailability signal; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:11323b53e9f2bdacbe8df7411a70ed87b3f7e8cd1a797fcce7f6ecfb925d975e	"[""prose-multi-copy"",""issue #1753: #443: audit summary renders the word degraded whenever the degraded arm ran; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:15eb20eb9fc0ddf995e63c363031b80be02e31e4b392e000b5787f0ef66f1615	"[""prose-multi-copy"",""issue #1753: #464 AC1: Step 3.6 generic checklist gains the adversarial-third-party-input dimension; 4 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:17bce4939547d19abc3f8582d445c4c012c7b41c4aad8513738fdc7c35f4c883	"[""prose-sole-copy"",""issue #1753: #546: no tool-owned decision is ever re-derived from this prose; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:195c38384b6f64a33b93dde3ce33ba55321cb34a5b036500d66d922d3403f230	"[""prose-sole-copy"",""issue #1753: #603/AC1: the decided recovery for a refused summary; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:2d231ff99a1b2e37fadc3dea233775f25e59d9e2dfcdb87bf330414a8c142958	"[""prose-multi-copy"",""issue #1753: #593: CLAUDE.md grant-timing gotcha states the in-PR-inert rule; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:3631b73abc9c632dc39ebda9d6d1073cfc806ae0a9bfb09a88893ece3241b2e7	"[""prose-sole-copy"",""issue #1753: #603/AC13: the shared ledger-maintenance procedure both revision sites call; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:5f6f0ce1879b3189ea58f0ca8c0a5ee32244ede419e7a609aecd7b0c88c43809	"[""prose-sole-copy"",""issue #1753: #546: the retired .md event log stays declared out of bounds (pre-cutover leftovers re-anchor); sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:8b03d36145b61aae180db944517ca687575564315845985bd2cbaa7720a48055	"[""prose-multi-copy"",""issue #1753: #464 AC3: Move 2 writes the coverage-sweep output back as closed AC items before filing; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:9824bb829886bd316d4b450ee3d0316aefb437e55fab60931de3457ca67459ca	"[""prose-multi-copy"",""issue #1753: #522: audit summary carries the declined-further-audit phrase; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:accfc7d868c6564cf71af9bcb43c8370f9804a3d977638c78a9aac7835fa97f1	"[""prose-multi-copy"",""issue #1753: #272 AC6: issue-template has the Visual Specification section heading; 3 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:b04061f65b08e40cbe92da71feb2dd9ce2849b618a6967d877c9e43b799e2e36	"[""prose-multi-copy"",""issue #1753: #462 rule3: zero arm states the falsifiable no-dependencies claim, not a count; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:baac39ff3a4ea0217f0ed5dbb5f2b9d5287cb8a114cbca0acca32d6b6ba61ab0	"[""prose-sole-copy"",""issue #1753: #522: audit-prompt template states the DRAFT-UNREADABLE emit condition; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:c505a65c5b97fe95268230ba6b8df2fa15f354b6d84235cb3b7e035197193ef8	"[""prose-sole-copy"",""issue #1753: #603/AC1: ledger text is identity data, never protocol; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:d88f327f7be3d440a2c34ac01a9569090c5e96ce558d9dcfb5a23c3b18075700	"[""prose-sole-copy"",""issue #1753: #603/AC15: a twice-listed defect counts per listing; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:d962869926d9300b57b9858db2538da6fde6c65e925b75493f779e12bbac109d	"[""prose-multi-copy"",""issue #1753: #467 D2 (CLAUDE.md leg): best-effort-parser gotcha widened to mutable-markdown/external-format; 3 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:e7c8aff69f95ea97dd6dc1b9447f2a32500133466f3cd4dd4ebc10259e47d278	"[""prose-sole-copy"",""issue #1753: #546: the step records each lifecycle event through the tool and obeys its answer; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:ed74dbce82dc4a856ea16ca34fbface51d944f0f4ee88e4ba4af47bf2b737b96	"[""prose-sole-copy"",""issue #1753: #603/AC19: an erroneous invalidation needs no amend path; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:f605b24833ab30d425b2d8cd8e76c2b6e46cafa9dd465fcb95312a64deec4cac	"[""prose-sole-copy"",""issue #1753: #546: the state-owner-unavailable marker is distinct from the degraded marker; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
literal:fdf806f3a9e420f4b4eb8e97bb8bee799443b7da863f41acfa8c086bc79483b3	"[""prose-multi-copy"",""issue #1753: #548: loader-failure arm records the dedicated line; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"	null
