adjudication_key	base_state	current_state
literal:02a3196d08334a8618d9231e2f59ec2dd56a8ee75104db751378bffbe32cdecf	"[""boundary"",""maintainer adjudication: create-issue EH: external helper, portable anchor, root binding, path display, or label outcome contract: create-issue preamble carries the never-capture operative sentence""]"	"[""prose-sole-copy"",""issue #1753: #275 pin (P4-ci): create-issue preamble carries the never-capture operative sentence; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:0cb47983ffc4d7fe1dfad4a70ae86afdfd682e34cf4a782718603290c5b00aff	"[""boundary"",""maintainer adjudication: create-issue LG: per-finding ledger read/write, reconciliation, or post-close state contract: reconciliation arm \u2014 recurrence of an invalidated entry""]"	"[""prose-sole-copy"",""issue #1753: #603/AC15: reconciliation arm \u2014 recurrence of an invalidated entry; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:0eea9b408f4e1c474d1ea44f7feafe7b04212faed9fff8326c09843fb356b7fe	"[""boundary"",""maintainer adjudication: create-issue SO: state-owner producer/consumer contract: an illegal-transition rejection is not an unavailability signal""]"	"[""prose-sole-copy"",""issue #1753: #546: an illegal-transition rejection is not an unavailability signal; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:11323b53e9f2bdacbe8df7411a70ed87b3f7e8cd1a797fcce7f6ecfb925d975e	"[""boundary"",""Retain routing/state-transition contract: #443: audit summary renders the word degraded whenever the degraded arm ran.""]"	"[""prose-multi-copy"",""issue #1753: #443: audit summary renders the word degraded whenever the degraded arm ran; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:15eb20eb9fc0ddf995e63c363031b80be02e31e4b392e000b5787f0ef66f1615	"[""boundary"",""Retain security/integrity boundary: #464 AC1: Step 3.6 generic checklist gains the adversarial-third-party-input dimension.""]"	"[""prose-multi-copy"",""issue #1753: #464 AC1: Step 3.6 generic checklist gains the adversarial-third-party-input dimension; 4 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:17bce4939547d19abc3f8582d445c4c012c7b41c4aad8513738fdc7c35f4c883	"[""boundary"",""maintainer adjudication: create-issue SO: state-owner producer/consumer contract: no tool-owned decision is ever re-derived from this prose""]"	"[""prose-sole-copy"",""issue #1753: #546: no tool-owned decision is ever re-derived from this prose; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:195c38384b6f64a33b93dde3ce33ba55321cb34a5b036500d66d922d3403f230	"[""boundary"",""maintainer adjudication: create-issue LG: per-finding ledger read/write, reconciliation, or post-close state contract: the decided recovery for a refused summary""]"	"[""prose-sole-copy"",""issue #1753: #603/AC1: the decided recovery for a refused summary; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:2d231ff99a1b2e37fadc3dea233775f25e59d9e2dfcdb87bf330414a8c142958	"[""boundary"",""maintainer adjudication: docs-root config_timing_contract: The operative root instruction prevents a run from relying on a tool grant that the same unmerged PR introduces.""]"	"[""prose-multi-copy"",""issue #1753: #593: CLAUDE.md grant-timing gotcha states the in-PR-inert rule; 2 counted homes. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:3631b73abc9c632dc39ebda9d6d1073cfc806ae0a9bfb09a88893ece3241b2e7	"[""boundary"",""maintainer adjudication: create-issue LG: per-finding ledger read/write, reconciliation, or post-close state contract: the shared ledger-maintenance procedure both revision sites call""]"	"[""prose-sole-copy"",""issue #1753: #603/AC13: the shared ledger-maintenance procedure both revision sites call; sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
literal:5f6f0ce1879b3189ea58f0ca8c0a5ee32244ede419e7a609aecd7b0c88c43809	"[""boundary"",""maintainer adjudication: create-issue AB: audit information-diet or artifact boundary: the retired .md event log stays declared out of bounds (pre-cutover leftovers re-anchor)""]"	"[""prose-sole-copy"",""issue #1753: #546: the retired .md event log stays declared out of bounds (pre-cutover leftovers re-anchor); sole counted home. No machine_consumer_evidence match for the literal or its distinctive tokens (CLAUDE.md #843/#876).""]"
